순번,산업분류코드,산업분류명칭,데이터기준일
461,23222,위생용 및 산업용 도자기 제조업,2022-08-02
462,23229,기타 일반 도자기 제조업,2022-08-02
463,2323,건축용 비내화 요업제품 제조업,2022-08-02
464,23231,점토 벽돌,2022-08-02
465,23232,타일 및 유사 비내화 요업제품 제조업,2022-08-02
466,23239,기타 건축용 비내화 요업제품 제조업,2022-08-02
467,233,시멘트,2022-08-02
468,2331,시멘트,2022-08-02
469,23311,시멘트 제조업,2022-08-02
470,23312,석회 및 플라스터 제조업,2022-08-02
471,2332,콘크리트,2022-08-02
472,23321,비내화 모르타르 제조업,2022-08-02
473,23322,레미콘 제조업,2022-08-02
474,23323,플라스터 혼합제품 제조업,2022-08-02
475,23324,콘크리트 타일,2022-08-02
476,23325,콘크리트 관 및 기타 구조용 콘크리트제품 제조업,2022-08-02
477,23329,그 외 기타 콘크리트 제품 및 유사 제품 제조업,2022-08-02
478,239,기타 비금속 광물제품 제조업,2022-08-02
479,2391,석제품 제조업,2022-08-02
480,23911,건설용 석제품 제조업,2022-08-02
481,23919,기타 석제품 제조업,2022-08-02
482,2399,그 외 기타 비금속 광물제품 제조업,2022-08-02
483,23991,아스팔트 콘크리트 및 혼합제품 제조업,2022-08-02
484,23992,연마재 제조업,2022-08-02
485,23993,비금속광물 분쇄물 생산업,2022-08-02
486,23994,암면 및 유사 제품 제조업,2022-08-02
487,23995,탄소섬유 제조업,2022-08-02
488,23999,그 외 기타 분류 안된 비금속 광물제품 제조업,2022-08-02
489,24,1차 금속 제조업,2022-08-02
490,241,1차 철강 제조업,2022-08-02
491,2411,제철,2022-08-02
492,24111,제철업,2022-08-02
493,24112,제강업,2022-08-02
494,24113,합금철 제조업,2022-08-02
495,24119,기타 제철 및 제강업,2022-08-02
496,2412,철강 압연,2022-08-02
497,24121,열간 압연 및 압출제품 제조업,2022-08-02
498,24122,냉간 압연 및 압출 제품 제조업,2022-08-02
499,24123,철강선 제조업,2022-08-02
500,2413,철강관 제조업,2022-08-02
501,24131,주철관 제조업,2022-08-02
502,24132,강관 제조업,2022-08-02
503,24133,강관 가공품 및 관 연결구류 제조업,2022-08-02
504,2419,기타 1차 철강 제조업,2022-08-02
505,24191,도금,2022-08-02
506,24199,그 외 기타 1차 철강 제조업,2022-08-02
507,242,1차 비철금속 제조업,2022-08-02
508,2421,비철금속 제련,2022-08-02
509,24211,동 제련,2022-08-02
510,24212,알루미늄 제련,2022-08-02
511,24213,연 및 아연 제련,2022-08-02
512,24219,기타 비철금속 제련,2022-08-02
513,2422,비철금속 압연,2022-08-02
514,24221,동 압연,2022-08-02
515,24222,알루미늄 압연,2022-08-02
516,24229,기타 비철금속 압연,2022-08-02
517,2429,기타 1차 비철금속 제조업,2022-08-02
518,24290,기타 1차 비철금속 제조업,2022-08-02
519,243,금속 주조업,2022-08-02
520,2431,철강 주조업,2022-08-02
521,24311,선철 주물 주조업,2022-08-02
522,24312,강 주물 주조업,2022-08-02
523,2432,비철금속 주조업,2022-08-02
524,24321,알루미늄 주물 주조업,2022-08-02
525,24322,동 주물 주조업,2022-08-02
526,24329,기타 비철금속 주조업,2022-08-02
527,25,금속 가공제품 제조업; 기계 및 가구 제외,2022-08-02
528,251,구조용 금속제품,2022-08-02
529,2511,구조용 금속제품 제조업,2022-08-02
530,25111,금속 문,2022-08-02
531,25112,구조용 금속 판제품 및 공작물 제조업,2022-08-02
532,25113,육상 금속 골조 구조재 제조업,2022-08-02
533,25114,수상 금속 골조 구조재 제조업,2022-08-02
534,25119,기타 구조용 금속제품 제조업,2022-08-02
535,2512,산업용 난방 보일러,2022-08-02
536,25121,산업용 난방보일러 및 방열기 제조업,2022-08-02
537,25122,금속 탱크 및 저장 용기 제조업,2022-08-02
538,25123,압축 및 액화 가스 용기 제조업,2022-08-02
539,2513,핵반응기 및 증기보일러 제조업,2022-08-02
540,25130,핵반응기 및 증기보일러 제조업,2022-08-02
541,252,무기 및 총포탄 제조업,2022-08-02
542,2520,무기 및 총포탄 제조업,2022-08-02
543,25200,무기 및 총포탄 제조업,2022-08-02
544,259,기타 금속 가공제품 제조업,2022-08-02
545,2591,금속 단조,2022-08-02
546,25911,분말 야금제품 제조업,2022-08-02
547,25912,금속 단조제품 제조업,2022-08-02
548,25913,자동차용 금속 압형제품 제조업,2022-08-02
549,25914,그 외 금속 압형제품 제조업,2022-08-02
550,2592,금속 열처리,2022-08-02
551,25921,금속 열처리업,2022-08-02
552,25922,도금업,2022-08-02
553,25923,도장 및 기타 피막 처리업,2022-08-02
554,25924,절삭 가공 및 유사 처리업,2022-08-02
555,25929,그 외 기타 금속 가공업,2022-08-02
556,2593,날붙이,2022-08-02
557,25931,날붙이 제조업,2022-08-02
558,25932,일반 철물 제조업,2022-08-02
559,25933,비동력식 수공구 제조업,2022-08-02
560,25934,톱 및 호환성 공구 제조업,2022-08-02
561,2594,금속 파스너,2022-08-02
562,25941,볼트 및 너트류 제조업,2022-08-02
563,25942,그 외 금속 파스너 및 나사제품 제조업,2022-08-02
564,25943,금속 스프링 제조업,2022-08-02
565,25944,금속선 가공제품 제조업,2022-08-02
566,2599,그 외 기타 금속 가공제품 제조업,2022-08-02
567,25991,금속 캔 및 기타 포장용기 제조업,2022-08-02
568,25992,수동식 식품 가공 기기 및 금속 주방용기 제조업,2022-08-02
569,25993,금속 위생용품 제조업,2022-08-02
570,25994,금속 표시판 제조업,2022-08-02
